WeatherPy_Database,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
217,Yulara,AU,2021-03-15 00:58:41,-25.2406,130.9889,68.0,26,0,21.85
218,Concepcion Del Oro,MX,2021-03-15 00:58:41,24.6333,-101.4167,63.84,8,0,8.3
219,Puerto Penasco,MX,2021-03-15 00:58:42,31.3167,-113.5333,62.01,71,10,8.01
220,Uige,AO,2021-03-15 00:58:42,-7.6087,15.0613,69.42,99,100,2.62
221,Walvis Bay,NA,2021-03-15 00:58:43,-22.9575,14.5053,62.01,88,98,2.3
222,Kununurra,AU,2021-03-15 00:58:09,-15.7667,128.7333,77.0,100,100,6.91
223,Bathsheba,BB,2021-03-15 00:58:43,13.2167,-59.5167,78.8,73,40,11.5
224,Alekseyevskaya,RU,2021-03-15 00:58:44,50.2896,42.1845,28.0,77,100,8.01
225,Narsaq,GL,2021-03-15 00:58:44,60.9167,-46.05,37.4,44,75,28.77
226,Sawakin,SD,2021-03-15 00:58:44,19.1059,37.3321,74.34,81,21,7.56
227,Awjilah,LY,2021-03-15 00:58:45,29.1081,21.2869,57.07,53,0,8.25
228,Yellowknife,CA,2021-03-15 01:07:11,62.456,-114.3525,10.4,79,90,6.91
229,Tura,IN,2021-03-15 00:54:53,25.5198,90.2201,70.3,44,0,2.51
230,Ventersburg,ZA,2021-03-15 00:58:45,-28.0856,27.1381,55.81,40,0,6.69
231,Akdepe,TM,2021-03-15 00:58:46,42.0551,59.3788,17.6,73,100,4.61
232,Progreso,MX,2021-03-15 00:58:17,21.2833,-89.6667,91.4,38,40,10.36
233,Voyvozh,RU,2021-03-15 00:58:46,62.892,54.9635,18.16,94,100,9.1
234,Auki,SB,2021-03-15 00:58:46,-8.7676,160.7034,86.83,63,87,4.81
235,Pambujan,PH,2021-03-15 00:58:47,12.5642,124.9276,83.37,72,0,4.27
236,Los Llanos De Aridane,ES,2021-03-15 00:58:47,28.6585,-17.9182,66.2,72,90,14.97
237,Pokhara,NP,2021-03-15 00:58:48,28.2333,83.9833,62.53,32,0,4.61
238,Aranda De Duero,ES,2021-03-15 00:58:48,41.6704,-3.6892,36.5,80,0,1.81
239,Ancud,CL,2021-03-15 00:58:48,-41.8697,-73.8203,54.0,87,0,2.3
240,Honningsvag,NO,2021-03-15 00:58:49,70.9821,25.9704,29.98,87,100,15.23
241,Poquoson,US,2021-03-15 00:58:49,37.1224,-76.3458,59.0,26,20,10.36
242,Hervey Bay,AU,2021-03-15 00:58:49,-25.2986,152.8535,90.0,58,40,5.75
243,Berezovyy,RU,2021-03-15 00:58:50,51.6667,135.7,40.48,65,67,4.45
244,Omboue,GA,2021-03-15 00:58:50,-1.5746,9.2618,75.72,94,100,10.47
245,Innisfail,AU,2021-03-15 00:58:50,-17.5333,146.0333,82.71,68,81,5.73
